City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Brigantine,US,39.4101,-74.3646,75.02,83,1,4.61,clear sky
82,Jamestown,US,42.097,-79.2353,70.02,85,1,1.01,clear sky
83,Provost,CA,52.3501,-110.2683,68.65,60,100,7.52,overcast clouds
84,Smithers,CA,54.7804,-127.1743,60.24,57,31,7.99,scattered clouds
85,Saint Andrews,US,34.0454,-81.1293,75.74,89,90,4.61,mist
86,Cortez,US,37.3489,-108.5859,87.51,17,1,8.05,clear sky
87,Port Hardy,CA,50.6996,-127.4199,55.58,100,75,5.75,light rain
88,High Level,CA,58.5169,-117.136,72.64,33,99,12.08,overcast clouds
89,Merrill,US,45.1805,-89.6835,69.75,100,1,0.0,clear sky
90,Washington,US,47.5001,-120.5015,77.95,31,100,8.55,overcast clouds
91,Maple Creek,CA,49.9168,-109.4848,77.5,39,100,9.22,overcast clouds
92,Rawlins,US,41.7911,-107.2387,68.22,45,1,12.66,clear sky
93,Whitehorse,CA,60.7161,-135.0538,57.02,95,100,3.09,light rain
94,Ukiah,US,39.1502,-123.2078,96.01,27,1,6.91,clear sky
95,Kewanee,US,41.2456,-89.9248,76.33,95,0,7.34,clear sky
96,Elko,US,41.0002,-115.5012,77.74,19,1,8.99,clear sky
97,Haines Junction,CA,60.7522,-137.5108,54.48,97,100,3.11,moderate rain
98,Marathon,US,44.9,-89.7668,70.48,90,1,0.0,clear sky
99,Galveston,US,29.3669,-94.9669,84.94,84,1,9.22,clear sky
100,Dickinson,US,29.4608,-95.0513,84.29,80,20,9.22,few clouds
101,Elizabeth City,US,36.2946,-76.2511,75.97,91,40,3.44,scattered clouds
102,Tallahassee,US,30.4383,-84.2807,80.62,92,1,4.61,clear sky
103,Outlook,CA,51.5001,-107.0513,83.8,36,39,16.26,scattered clouds
104,Iroquois Falls,CA,48.7669,-80.6831,55.54,98,100,8.72,overcast clouds
105,Polson,US,47.6936,-114.1632,78.28,43,75,3.0,broken clouds
106,Inuvik,CA,68.3499,-133.7218,42.35,63,100,12.57,overcast clouds
107,Columbia,US,34.0007,-81.0348,76.5,97,90,0.0,mist
108,Oakley,US,37.9974,-121.7124,94.15,28,0,3.0,clear sky
109,Melville,US,40.7934,-73.4151,78.85,72,1,3.0,clear sky
110,Phenix City,US,32.471,-85.0008,80.74,78,1,4.61,clear sky
111,Abilene,US,32.4487,-99.7331,89.82,42,1,1.01,clear sky
112,Kenai,US,60.5544,-151.2583,68.02,81,1,10.36,clear sky
113,Douglas,US,41.3,-96.167,84.74,78,1,3.0,clear sky
114,Plant City,US,28.0186,-82.1129,85.57,87,90,1.01,light rain
115,Yarmouth,US,41.7057,-70.2286,72.18,93,1,3.0,clear sky
