City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Talcahuano,CL,2021-07-27 18:13:39,-36.7167,-73.1167,55.08,50,0,17.27
67,Flinders,AU,2021-07-27 18:14:57,-34.5833,150.8552,59.38,62,100,4.0
68,Coquimbo,CL,2021-07-27 18:14:57,-29.9533,-71.3436,58.73,72,0,12.66
69,Miri,MY,2021-07-27 18:14:57,4.4148,114.0089,81.27,82,62,5.08
70,Isangel,VU,2021-07-27 18:14:57,-19.55,169.2667,69.19,72,40,12.26
71,Riyadh,SA,2021-07-27 18:14:58,24.6877,46.7219,105.94,11,25,4.32
72,Hofn,IS,2021-07-27 18:14:58,64.2539,-15.2082,55.56,77,96,4.99
73,Kavaratti,IN,2021-07-27 18:14:58,10.5669,72.642,81.77,79,100,19.04
74,Swiecie,PL,2021-07-27 18:14:59,53.4095,18.4474,80.91,62,85,5.37
75,Moba,CN,2021-07-27 18:14:59,33.2288,105.0179,58.19,81,63,4.97
76,Kovdor,RU,2021-07-27 18:14:59,67.5662,30.4758,63.79,67,69,2.64
77,Richards Bay,ZA,2021-07-27 18:15:00,-28.783,32.0377,66.67,64,20,18.52
78,Chara,RU,2021-07-27 18:15:01,56.9064,118.2631,62.53,78,84,2.08
79,Beringovskiy,RU,2021-07-27 18:12:18,63.05,179.3167,48.07,96,100,9.57
80,Sulangan,PH,2021-07-27 18:15:01,11.1373,123.7228,83.88,73,99,17.27
81,Nauchnyy Gorodok,RU,2021-07-27 18:15:02,53.4203,83.521,59.86,58,0,6.71
82,Asau,RO,2021-07-27 18:13:52,46.4333,26.4,79.72,81,68,3.27
83,Port Elizabeth,ZA,2021-07-27 18:12:43,-33.918,25.5701,61.11,42,17,8.81
84,Labuhan,ID,2021-07-27 18:15:02,-6.8844,112.2051,73.62,86,38,7.16
85,Karratha,AU,2021-07-27 18:15:03,-20.7377,116.8463,70.29,85,9,8.75
86,Mabay,PH,2021-07-27 18:15:04,6.0577,124.4666,79.43,80,99,1.74
87,Nanortalik,GL,2021-07-27 18:10:59,60.1432,-45.2371,46.0,77,94,0.47
88,Foz Do Iguacu,BR,2021-07-27 18:13:12,-25.5478,-54.5881,60.15,58,75,9.22
89,Konstantinovka,RU,2021-07-27 18:15:04,49.6167,127.9833,71.44,97,100,7.36
90,Bambous Virieux,MU,2021-07-27 18:15:04,-20.3428,57.7575,67.21,85,95,15.77
91,Xining,CN,2021-07-27 18:15:05,36.6167,101.7667,53.73,84,79,3.02
92,Pisco,PE,2021-07-27 18:15:05,-13.7,-76.2167,68.02,77,2,10.36
93,Pangnirtung,CA,2021-07-27 18:15:05,66.1451,-65.7125,46.4,100,75,3.44
94,Vanavara,RU,2021-07-27 18:15:05,60.34,102.2797,66.58,55,14,2.3
95,Guerrero Negro,MX,2021-07-27 18:15:06,27.9769,-114.0611,78.51,55,0,10.94
96,Tasiilaq,GL,2021-07-27 18:15:06,65.6145,-37.6368,42.96,82,49,5.39
97,Provideniya,RU,2021-07-27 18:15:06,64.3833,-173.3,46.9,99,100,10.36
98,Cabo San Lucas,MX,2021-07-27 18:15:06,22.8909,-109.9124,95.81,68,1,8.01
99,Dingle,PH,2021-07-27 18:15:07,10.9995,122.6711,79.05,81,96,11.7
100,Busselton,AU,2021-07-27 18:15:07,-33.65,115.3333,47.05,66,93,12.39
101,Sibu,MY,2021-07-27 18:15:08,2.3,111.8167,75.31,93,50,1.1
102,Kloulklubed,PW,2021-07-27 18:15:08,7.0419,134.2556,83.88,75,100,14.72
103,Shingu,JP,2021-07-27 18:15:08,33.7333,135.9833,76.91,82,97,5.5
104,Bathsheba,BB,2021-07-27 18:15:08,13.2167,-59.5167,88.41,66,40,17.27
105,Carballo,ES,2021-07-27 18:15:09,43.213,-8.691,77.07,79,27,6.58
106,Hashtrud,IR,2021-07-27 18:15:09,37.4779,47.0508,82.44,25,75,7.43
